No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,time 1,time 2 ,delay 1,delay 2,jiter
13,5.764238,192.168.43.125,172.217.194.94,TCP,55,49197  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,5.857157,5.764238,0.092919,5.671319,5.5784
14,5.857157,172.217.194.94,192.168.43.125,TCP,54,443  >  49197 [RST] Seq=1 Win=0 Len=0,,,,,,,,,,6.844275,5.857157,0.987118,4.870039,3.882921
17,6.844275,192.168.43.125,103.208.137.6,TCP,55,49217  >  443 [ACK] Seq=1 Ack=1 Win=63612 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,6.932795,6.844275,0.08852,6.755755,6.667235
20,6.932795,103.208.137.6,192.168.43.125,TCP,66,443  >  49217 [ACK] Seq=1 Ack=2 Win=63784 Len=0 SLE=1 SRE=2,,,,,,,,,,8.395384,6.932795,1.462589,5.470206,4.007617
26,8.395384,192.168.43.125,74.125.24.138,TCP,55,49227  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,8.474,8.395384,0.078616,8.316768,8.238152
27,8.474,74.125.24.138,192.168.43.125,TCP,66,443  >  49227 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,11.476351,8.474,3.002351,5.471649,2.469298
37,11.476351,192.168.43.125,74.125.24.138,TCP,55,49226  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,13.956454,11.476351,2.480103,8.996248,6.516145
38,13.956454,192.168.43.125,172.217.194.94,TCP,55,49196  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,14.865549,13.956454,0.909095,13.047359,12.138264
40,14.865549,192.168.43.125,103.208.137.6,TCP,55,49180  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,15.866587,14.865549,1.001038,13.864511,12.863473
41,15.866587,192.168.43.125,103.208.137.6,TCP,55,49214  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,15.914617,15.866587,0.04803,15.818557,15.770527
42,15.914617,192.168.43.125,103.208.137.6,TCP,55,49213  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,17.046554,15.914617,1.131937,14.78268,13.650743
43,17.046554,192.168.43.125,103.208.137.6,TCP,55,49220  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,17.154003,17.046554,0.107449,16.939105,16.831656
44,17.154003,103.208.137.6,192.168.43.125,TCP,66,443  >  49220 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,18.456619,17.154003,1.302616,15.851387,14.548771
46,18.456619,192.168.43.125,74.125.68.188,TCP,55,49171  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,18.536229,18.456619,0.07961,18.377009,18.297399
47,18.536229,74.125.68.188,192.168.43.125,TCP,66,5228  >  49171 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,28.336033,18.536229,9.799804,8.736425,1.063379
64,28.336033,192.168.43.125,74.125.68.157,TCP,55,49199  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,28.452379,28.336033,0.116346,28.219687,28.103341
68,28.452379,74.125.68.157,192.168.43.125,TCP,66,443  >  49199 [ACK] Seq=1 Ack=2 Win=269 Len=0 SLE=1 SRE=2,,,,,,,,,,30.447125,28.452379,1.994746,26.457633,24.462887
77,30.447125,192.168.43.125,104.22.52.65,TCP,55,49221  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,30.696624,30.447125,0.249499,30.197626,29.948127
78,30.696624,104.22.52.65,192.168.43.125,TCP,66,443  >  49221 [ACK] Seq=1 Ack=2 Win=68 Len=0 SLE=1 SRE=2,,,,,,,,,,34.465271,30.696624,3.768647,26.927977,23.15933
81,34.465271,192.168.43.125,23.111.9.35,TCP,55,49219  >  443 [ACK] Seq=1 Ack=1 Win=64860 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,39.307679,34.465271,4.842408,29.622863,24.780455
83,39.307679,192.168.43.125,74.125.200.102,TCP,54,"49224  >  80 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",,,,,,,,,,41.410502,39.307679,2.102823,37.204856,35.102033
85,41.410502,74.125.68.157,192.168.43.125,TLSv1.2,110,Application Data,,,,,,,,,,41.41091,41.410502,0.000408,41.410094,41.409686
86,41.41091,192.168.43.125,74.125.68.157,TCP,54,"49199  >  443 [FIN, ACK] Seq=2 Ack=57 Win=254 Len=0",,,,,,,,,,41.475877,41.41091,0.064967,41.345943,41.280976
87,41.475877,74.125.68.157,192.168.43.125,TCP,54,[TCP Previous segment not captured] 443  >  49199 [ACK] Seq=58 Ack=3 Win=269 Len=0,,,,,,,,,,41.906606,41.475877,0.430729,41.045148,40.614419
88,41.906606,74.125.68.157,192.168.43.125,TCP,54,"[TCP Retransmission] 443  >  49199 [FIN, ACK] Seq=57 Ack=3 Win=269 Len=0",,,,,,,,,,41.906716,41.906606,0.00011,41.906496,41.906386
89,41.906716,192.168.43.125,74.125.68.157,TCP,54,49199  >  443 [ACK] Seq=3 Ack=58 Win=254 Len=0,,,,,,,,,,51.930884,41.906716,10.024168,31.882548,21.85838
104,51.930884,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49217  >  443 [ACK] Seq=1 Ack=1 Win=63612 Len=1,,,,,,,,,,53.470939,51.930884,1.540055,50.390829,48.850774
109,53.470939,192.168.43.125,74.125.24.138,TCP,55,[TCP Keep-Alive] 49227  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,,,,,,,,,,53.554254,53.470939,0.083315,53.387624,53.304309
110,53.554254,74.125.24.138,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49227 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,56.47599,53.554254,2.921736,50.632518,47.710782
119,56.47599,192.168.43.125,74.125.24.138,TCP,55,[TCP Keep-Alive] 49226  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,58.957071,56.47599,2.481081,53.994909,51.513828
123,58.957071,192.168.43.125,172.217.194.94,TCP,55,[TCP Keep-Alive] 49196  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1,,,,,,,,,,59.032857,58.957071,0.075786,58.881285,58.805499
124,59.032857,172.217.194.94,192.168.43.125,TCP,66,443  >  49196 [ACK] Seq=1 Ack=2 Win=321 Len=0 SLE=1 SRE=2,,,,,,,,,,59.871114,59.032857,0.838257,58.1946,57.356343
125,59.871114,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49180  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,,,,,,,,,,59.972199,59.871114,0.101085,59.770029,59.668944
126,59.972199,103.208.137.6,192.168.43.125,TCP,66,443  >  49180 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,60.867233,59.972199,0.895034,59.077165,58.182131
127,60.867233,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49214  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,,,,,,,,,,60.911216,60.867233,0.043983,60.82325,60.779267
128,60.911216,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49213  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1,,,,,,,,,,60.973196,60.911216,0.06198,60.849236,60.787256
129,60.973196,103.208.137.6,192.168.43.125,TCP,66,443  >  49214 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,61.013655,60.973196,0.040459,60.932737,60.892278
131,61.013655,103.208.137.6,192.168.43.125,TCP,66,443  >  49213 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,62.147264,61.013655,1.133609,59.880046,58.746437
132,62.147264,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49220  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,,,,,,,,,,62.253021,62.147264,0.105757,62.041507,61.93575
133,62.253021,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49220 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,63.537243,62.253021,1.284222,60.968799,59.684577
134,63.537243,192.168.43.125,74.125.68.188,TCP,55,[TCP Keep-Alive] 49171  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,63.6147,63.537243,0.077457,63.459786,63.382329
135,63.6147,74.125.68.188,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 5228  >  49171 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,75.701759,63.6147,12.087059,51.527641,39.440582
159,75.701759,192.168.43.125,104.22.52.65,TCP,55,[TCP Keep-Alive] 49221  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,79.458901,75.701759,3.757142,71.944617,68.187475
161,79.458901,192.168.43.125,23.111.9.35,TCP,55,[TCP Keep-Alive] 49219  >  443 [ACK] Seq=1 Ack=1 Win=64860 Len=1,,,,,,,,,,96.929532,79.458901,17.470631,61.98827,44.517639
184,96.929532,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49217  >  443 [ACK] Seq=1 Ack=1 Win=63612 Len=1,,,,,,,,,,98.548653,96.929532,1.619121,95.310411,93.69129
186,98.548653,192.168.43.125,74.125.24.138,TCP,55,[TCP Keep-Alive] 49227  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,,,,,,,,,,98.736342,98.548653,0.187689,98.360964,98.173275
187,98.736342,74.125.24.138,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49227 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2,,,,,,,,,,101.47561,98.736342,2.739268,95.997074,93.257806
189,101.47561,192.168.43.125,74.125.24.138,TCP,55,[TCP Keep-Alive] 49226  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,101.6651,101.47561,0.18949,101.28612,101.09663
190,101.6651,74.125.24.138,192.168.43.125,TCP,66,443  >  49226 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2,,,,,,,,,,104.031789,101.6651,2.366689,99.298411,96.931722
196,104.031789,192.168.43.125,172.217.194.94,TCP,55,[TCP Keep-Alive] 49196  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1,,,,,,,,,,104.968883,104.031789,0.937094,103.094695,102.157601
197,104.968883,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49180  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,,,,,,,,,,105.173283,104.968883,0.2044,104.764483,104.560083
198,105.173283,103.208.137.6,192.168.43.125,TCP,66,[TCP Keep-Alive ACK] 443  >  49180 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2,,,,,,,,,,105.971825,105.173283,0.798542,104.374741,103.576199
199,105.971825,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49214  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,,,,,,,,,,106.009846,105.971825,0.038021,105.933804,105.895783
200,106.009846,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49213  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1,,,,,,,,,,107.251899,106.009846,1.242053,104.767793,103.52574
201,107.251899,192.168.43.125,103.208.137.6,TCP,55,[TCP Keep-Alive] 49220  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,,,,,,,,,,108.611954,107.251899,1.360055,105.891844,104.531789
203,108.611954,192.168.43.125,74.125.68.188,TCP,55,[TCP Keep-Alive] 49171  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1,,,,,,,,,,112.252388,108.611954,3.640434,104.97152,101.331086
205,112.252388,23.111.9.35,192.168.43.125,SSL,1434,Continuation Data,,,,,,,,,,112.4501,112.252388,0.197712,112.054676,111.856964
206,112.4501,192.168.43.125,23.111.9.35,TCP,54,49219  >  443 [ACK] Seq=2 Ack=1381 Win=64860 Len=0,,,,,,,,,,112.886163,112.4501,0.436063,112.014037,111.577974
208,112.886163,23.111.9.35,192.168.43.125,SSL,1434,Continuation Data,,,,,,,,,,112.886958,112.886163,0.000795,112.885368,112.884573
209,112.886958,23.111.9.35,192.168.43.125,SSL,1434,Continuation Data,,,,,,,,,,112.887069,112.886958,0.000111,112.886847,112.886736
210,112.887069,192.168.43.125,23.111.9.35,TCP,54,49219  >  443 [ACK] Seq=2 Ack=4141 Win=64860 Len=0,,,,,,,,,,117.411166,112.887069,4.524097,108.362972,103.838875
230,117.411166,172.217.194.94,192.168.43.125,TLSv1.2,110,Application Data,,,,,,,,,,117.411299,117.411166,0.000133,117.411033,117.4109
231,117.411299,172.217.194.94,192.168.43.125,TCP,54,"443  >  49196 [FIN, ACK] Seq=57 Ack=2 Win=321 Len=0",,,,,,,,,,117.411344,117.411299,4.5E-05,117.411254,117.411209
232,117.411344,192.168.43.125,172.217.194.94,TCP,54,49196  >  443 [ACK] Seq=2 Ack=58 Win=258 Len=0,,,,,,,,,,117.41163,117.411344,0.000286,117.411058,117.410772
233,117.41163,192.168.43.125,172.217.194.94,TCP,54,"49196  >  443 [FIN, ACK] Seq=2 Ack=58 Win=258 Len=0",,,,,,,,,,120.411385,117.41163,2.999755,114.411875,111.41212
238,120.411385,192.168.43.125,172.217.194.94,TCP,54,"[TCP Retransmission] 49196  >  443 [FIN, ACK] Seq=2 Ack=58 Win=258 Len=0",,,,,,,,,,120.701401,120.411385,0.290016,120.121369,119.831353
